Qatar,Ecuador,Senegal,Paises Bajos
Saad Al Sheeb,arquero,1,1,Yousef Hassan,arquero,1,21,Meshaal Barsham,arquero,1,22,Salah Zakaria,arquero,1,31,Ró-Ró,defensa,1,2,Abdelkarim Hassan,defensa,1,3,Tarek Salman,defensa,1,5,Musab Kheder,defensa,1,13,Homam Ahmed,defensa,1,14,Bassam Al-Rawi,defensa,1,15,Boualem Khoukhi,defensa,1,16,Mohammed Emad,defensa,1,29,Jassem Gaber,defensa,1,32,Mohammed Waad,mediocampista,1,4,Abdulaziz Hatem,mediocampista,1,6,Ali Assadalla,mediocampista,1,8,Karim Boudiaf,mediocampista,1,12,Ahmed Fadhel,mediocampista,1,20,Mostafa Tarek,mediocampista,1,23,Abdelrahman Moufasa,mediocampista,1,25,Osama Al-Tairi,mediocampista,1,35,Ahmed Alaaeldin,delantero,1,7,Mohammed Muntari,delantero,1,9,Hassan Al-Haydos,delantero,1,10,Akram Afif,delantero,1,11,Ismaeel Mohammad,delantero,1,17,Khalid Muneer,delantero,1,18,Almoez Ali,delantero,1,19,Naif Al-Hadhrami,delantero,1,24,Yusuf Abdurisag,delantero,1,28
Alexander Domínguez,arquero,1,22,Hernán Galíndez,arquero,1,1,Gonzalo Valle,arquero,1,12,Pervis Estupiñán,defensa,1,7,Ángelo Preciado,defensa,1,17,Piero Hincapié,defensa,1,3,Xavier Arreaga,defensa,1,14,Byron Castillo,defensa,1,6,Diego Palacios,defensa,1,18,Fernando León,defensa,1,4,Jackson Porozo,defensa,1,2,William Pacho,defensa,1,24,Ángel Mena,mediocampista,1,15,Carlos Gruezo,mediocampista,1,8,Jhegson Méndez,mediocampista,1,20,Gonzalo Plata,mediocampista,1,19,Moisés Caicedo,mediocampista,1,23,Romario Ibarra,mediocampista,1,10,José Cifuentes,mediocampista,1,5,Jeremy Sarmiento,mediocampista,1,16,Nilson Angulo,mediocampista,1,25,Patrickson Delgado,mediocampista,1,21,Anthony Valencia,mediocampista,1,26,Enner Valencia,delantero,1,13,Michael Estrada,delantero,1,11,Djorkaeff Reasco,delantero,1,9
Seny Dieng,arquero,1,1,Alfred Gomis,arquero,1,23,Mory Diaw,arquero,1,28,Formose Mendy,defensa,1,2,Kalidou Koulibaly,defensa,1,3,Pape Abou Cissé,defensa,1,4,Abdou Diallo,defensa,1,22,Fodé Ballo-Touré,defensa,1,12,Ismail Jakobs,defensa,1,13,Moussa Niakhaté,defensa,1,19,Idrissa Gueye,mediocampista,1,5,Nampalys Mendy,mediocampista,1,6,Cheikhou Kouyaté,mediocampista,1,8,Pathé Ciss,mediocampista,1,11,Krépin Diatta,mediocampista,1,15,Pape Matar Sarr,mediocampista,1,17,Moustapha Name,mediocampista,1,24,Mamadou Loum,mediocampista,1,25,Pape Gueye,mediocampista,1,26,Boulaye Dia,delantero,1,9,Sadio Mané,delantero,1,10,Ismaïla Sarr,delantero,1,18,Bamba Dieng,delantero,1,20,Iliman Ndiaye,delantero,1,21,Nicolas Jackson,delantero,1,27,Demba Seck,delantero,1,29
Remko Pasveer,arquero,1,1,Jasper Cillessen,arquero,1,13,Mark Flekken,arquero,1,23,Andries Noppert,arquero,1,25,Jurriën Timber,defensa,1,2,Matthijs de Ligt,defensa,1,3,Virgil van Dijk,defensa,1,4,Nathan Aké,defensa,1,5,Stefan de Vrij,defensa,1,6,Devyne Rensch,defensa,1,12,Tyrell Malacia,defensa,1,16,Daley Blind,defensa,1,17,Denzel Dumfries,defensa,1,22,Bruno Martins Indi,defensa,1,24,Steven Berghuis,mediocampista,1,11,Davy Klaassen,mediocampista,1,14,Marten de Roon,mediocampista,1,15,Kenneth Taylor,mediocampista,1,18,Ryan Gravenberch,mediocampista,1,20,Frenkie de Jong,mediocampista,1,21,Steven Bergwijn,delantero,1,7,Cody Gakpo,delantero,1,8,Vincent Janssen,delantero,1,9,Memphis Depay,delantero,1,10,Wout Weghorst,delantero,1,19
